Pais;Marca;Modelo;Precio;Kilometros;Automatico/Manual;Fabricacion;Combustible;Potencia
D;volkswagen;passat variant;20890.0;163025;Automatico;mar-16;Diesel;140 kW (190 CV)
D;porsche;cayenne;78650.0;27196;Automatico;dic-22;Electro/Gasolina;340 kW (462 CV)
D;opel;corsa;1899.0;81000;Manual;oct-99;Gasolina;40 kW (54 CV)
I;jeep;avenger;25990.0;1;Manual;oct-24;Gasolina;74 kW (101 CV)
I;volvo;xc40;24870.0;110000;Automatico;may-19;Diesel;140 kW (190 CV)
NL;peugeot;206;1895.0;;Manual;sep-09;Gasolina;44 kW (60 CV)
L;hyundai;tucson;34990.0;51800;0 Transmision;sep-22;0 Tipo de combustible;132 kW (179 CV)
D;ssangyong;rexton;38949.0;51191;Automatico;dic-22;Diesel;149 kW (203 CV)
A;porsche;911;215980.0;24535;Automatico;may-18;Gasolina;368 kW (500 CV)
D;mazda;cx-3;15990.0;46100;Manual;feb-19;Gasolina;89 kW (121 CV)
D;dodge;ram;82990.0;43000;Automatico;abr-22;Gas licuado (GLP);295 kW (401 CV)
D;skoda;fabia;10980.0;66000;Manual;abr-17;Gasolina;81 kW (110 CV)
D;volvo;xc60;28490.0;68439;Automatico;sep-21;Gasolina;145 kW (197 CV)
B;porsche;boxster;;91339;Manual;jul-02;Gasolina;168 kW (228 CV)
D;volkswagen;golf;2500.0;176800;Manual;abr-04;Gasolina;85 kW (116 CV)
A;volvo;xc90;12000.0;350000;Automatico;oct-13;Diesel;136 kW (185 CV)
I;mercedes-benz;c 220;10500.0;153000;Manual;ago-10;Diesel;125 kW (170 CV)
B;audi;rs e-tron gt;85950.0;34811;Automatico;nov-21;Electrico;440 kW (598 CV)
NL;peugeot;108;6900.0;99297;Manual;ene-15;Gasolina;60 kW (82 CV)
D;kia;sorento;3285.0;266000;Automatico;mar-07;Diesel;125 kW (170 CV)
B;mercedes-benz;a 180;13000.0;112000;Automatico;nov-14;Diesel;80 kW (109 CV)
NL;peugeot;208;;72170;Manual;dic-20;Gasolina;74 kW (101 CV)
F;nissan;juke;;21000;Automatico;may-24;Gasolina;84 kW (114 CV)
I;opel;astra;29900.0;13000;Automatico;dic-23;Electrico;62 kW (84 CV)
E;volvo;xc60;;99000;Automatico;may-22;Electro/Gasolina;251 kW (341 CV)
B;mercedes-benz;vito;6500.0;346859;Manual;oct-08;Diesel;85 kW (116 CV)
L;land rover;range rover sport;42000.0;148000;Automatico;feb-16;Gasolina;405 kW (551 CV)
I;bmw;z3;14500.0;185000;Manual;jun-99;Gasolina;85 kW (116 CV)
NL;hyundai;i40;6945.0;272697;Manual;ene-13;Gasolina;99 kW (135 CV)
D;skoda;kamiq;26890.0;50;Manual;nov-23;Gasolina;110 kW (150 CV)
E;renault;megane;6700.0;220001;Manual;feb-11;Diesel;81 kW (110 CV)
NL;audi;a4;9950.0;263439;Automatico;abr-16;Gasolina;125 kW (170 CV)
I;lancia;ypsilon;12000.0;34000;Manual;jul-20;Gasolina;51 kW (69 CV)
I;volkswagen;t-roc;17990.0;62700;Manual;jun-22;Gasolina;81 kW (110 CV)
E;porsche;macan;68300.0;;Automatico;feb-18;Diesel;190 kW (258 CV)
NL;kia;picanto;5995.0;83884;Manual;jun-16;Gasolina;49 kW (67 CV)
I;hyundai;tucson;19990.0;77000;Automatico;sep-17;Diesel;104 kW (141 CV)
A;peugeot;508;3990.0;240000;Manual;ene-12;Diesel;103 kW (140 CV)
D;aixam;;9499.0;8195;Automatico;mar-22;Diesel;6 kW (8 CV)
I;hyundai;tucson;16900.0;54800;Manual;may-20;Gasolina;97 kW (132 CV)
B;peugeot;308;13000.0;73732;Manual;abr-18;Diesel;75 kW (102 CV)
B;hyundai;tucson;34999.0;;Manual;mar-22;Gasolina;110 kW (150 CV)
B;alpina;d3;107253.0;0;Automatico;0;Diesel;261 kW (355 CV)
A;volkswagen;passat;3750.0;166000;Manual;ene-04;Diesel;74 kW (101 CV)
A;hyundai;kona;17990.0;8284;Automatico;abr-21;Electrico;100 kW (136 CV)
D;ssangyong;tivoli;;11;Automatico;0;Gasolina;120 kW (163 CV)
B;volkswagen;golf;;130121;Manual;mar-13;Gasolina;62 kW (84 CV)
NL;audi;a6;17950.0;48281;Automatico;jul-01;Gasolina;184 kW (250 CV)
B;volvo;xc40;;70500;Automatico;mar-20;Gasolina;120 kW (163 CV)
D;volkswagen;t4;5300.0;333333;Manual;jul-00;Diesel;75 kW (102 CV)
D;bmw;330;5988.0;220000;Automatico;nov-08;Diesel;180 kW (245 CV)
I;skoda;karoq;17200.0;91530;Manual;ago-19;Diesel;85 kW (116 CV)
I;bmw;330;12500.0;189000;Automatico;abr-10;Diesel;180 kW (245 CV)
A;fiat;500c;14490.0;29422;Manual;oct-21;Electro/Gasolina;52 kW (71 CV)
NL;mercedes-benz;a 250;51941.0;15;Automatico;ene-24;Electro/Gasolina;160 kW (218 CV)
B;bentley;flying spur;67950.0;88200;Automatico;feb-14;Gasolina;460 kW (625 CV)
NL;kia;proceed / pro_cee'd;19890.0;70577;Manual;jul-19;Gasolina;88 kW (120 CV)
D;honda;cr-v;;;Manual;dic-17;Gasolina;114 kW (155 CV)
NL;mazda;mx-5;7500.0;173987;Manual;abr-02;Gasolina;107 kW (145 CV)
I;chevrolet;captiva;3999.0;245000;Manual;ago-09;Gas licuado (GLP);100 kW (136 CV)
D;fiat;500;11690.0;23838;Manual;ago-21;Gasolina;51 kW (69 CV)
F;bmw;;28740.0;31892;Automatico;oct-20;Gasolina;103 kW (140 CV)
D;mg;zs;22999.0;968010;Automatico;nov-22;Electrico;130 kW (177 CV)
NL;nissan;micra;11950.0;31456;Manual;jul-18;Gasolina;66 kW (90 CV)
F;volvo;ex30;;5900;Automatico;ago-24;Electrico;203 kW (276 CV)
I;suzuki;alto;2950.0;180000;Manual;sep-09;Gas licuado (GLP);50 kW (68 CV)
NL;nissan;juke;21900.0;23714;Automatico;may-22;Gasolina;85 kW (116 CV)
D;mercedes-benz;c 220;44490.0;15000;Automatico;abr-24;Diesel;147 kW (200 CV)
D;ford;focus;3990.0;110000;Manual;oct-06;Gasolina;74 kW (101 CV)
D;mitsubishi;space star;12390.0;15900;Manual;jul-21;Gasolina;52 kW (71 CV)
F;peugeot;504;43000.0;112000;Manual;jul-79;Gasolina;78 kW (106 CV)
F;peugeot;208;;61694;Manual;dic-20;Gasolina;0 kW (0 CV)
E;audi;a3;7000.0;230000;Manual;jun-05;Gasolina;147 kW (200 CV)
NL;fiat;bravo;5790.0;73843;Manual;abr-10;Gasolina;66 kW (90 CV)
D;mercedes-benz;clk 200;2999.0;182000;Automatico;nov-99;Gasolina;100 kW (136 CV)
F;bmw;x2;29990.0;;Automatico;jun-18;Diesel;142 kW (193 CV)
F;audi;a5;24900.0;127000;Automatico;abr-14;Diesel;180 kW (245 CV)
NL;land rover;range rover sport;32650.0;196840;Automatico;dic-05;Gasolina;287 kW (390 CV)
D;bmw;320;4750.0;237200;Manual;mar-08;Gasolina;125 kW (170 CV)
D;audi;a6;3500.0;440000;Automatico;jul-03;Diesel;132 kW (179 CV)
D;nissan;townstar;26980.0;50;Manual;ago-24;Gasolina;96 kW (131 CV)
A;ford;focus;26490.0;18000;Automatico;abr-23;Gasolina;92 kW (125 CV)
I;fiat;panda;14000.0;5000;Manual;oct-23;Electro/Gasolina;51 kW (69 CV)
I;smart;fortwo;1800.0;;Semiautomatico;mar-06;Gasolina;45 kW (61 CV)
I;dacia;duster;;76876;Manual;feb-21;Gas licuado (GLP);74 kW (101 CV)
NL;volkswagen;golf;4249.0;181000;Automatico;ago-07;Gasolina;125 kW (170 CV)
I;seat;leon;6500.0;154000;Manual;oct-09;Diesel;125 kW (170 CV)
B;mini;cooper sd;9980.0;110000;Manual;sep-13;Diesel;105 kW (143 CV)
D;dodge;ram;41900.0;47000;Automatico;jun-20;Gasolina;227 kW (309 CV)
F;audi;q2;22990.0;124389;Automatico;abr-17;Gasolina;110 kW (150 CV)
E;lancia;voyager;;196646;Automatico;jul-14;Diesel;130 kW (177 CV)
NL;citroen;c3 aircross;;25866;Automatico;feb-22;Gasolina;96 kW (131 CV)
A;volkswagen;golf variant;29980.0;3341;Manual;jul-24;Diesel;85 kW (116 CV)
E;ds automobiles;ds 5;15900.0;145000;Manual;jun-18;Diesel;88 kW (120 CV)
I;opel;astra;6600.0;200000;Manual;mar-18;Diesel;81 kW (110 CV)
D;audi;s3;28990.0;100000;Automatico;oct-19;Gasolina;221 kW (300 CV)
D;bmw;x1;44440.0;18511;Automatico;abr-24;Diesel;120 kW (163 CV)
D;ford;focus;6500.0;314000;Automatico;jun-17;Diesel;110 kW (150 CV)
A;iveco;daily;50870.0;50;Automatico;0;Diesel;100 kW (136 CV)
I;skoda;kamiq;20900.0;;Manual;may-23;Gasolina;81 kW (110 CV)
B;bmw;318;38260.0;10400;Automatico;sep-23;Gasolina;115 kW (156 CV)
I;renault;clio;16400.0;22000;Manual;abr-24;Gasolina;66 kW (90 CV)
A;audi;a4;19500.0;124000;Automatico;abr-18;Diesel;110 kW (150 CV)
B;land rover;discovery;17000.0;271200;Automatico;jul-14;Diesel;188 kW (256 CV)
D;dacia;sandero;6850.0;102400;Manual;dic-14;Gasolina;66 kW (90 CV)
D;opel;kadett;5490.0;62000;Manual;mar-83;Gasolina;44 kW (60 CV)
NL;citroen;c1;2249.0;error;Manual;may-10;Gasolina;50 kW (68 CV)
E;mercedes-benz;glc 250;35499.0;77000;Automatico;ago-17;Diesel;150 kW (204 CV)
B;hyundai;i10;6990.0;120611;Manual;oct-15;Gasolina;49 kW (67 CV)
I;mercedes-benz;e 250;30000.0;62000;Automatico;abr-70;Gasolina;98 kW (133 CV)
NL;volvo;ex30;46830.0;;Automatico;ene-24;Electrico;200 kW (272 CV)
NL;volvo;xc90;27450.0;179450;Automatico;ene-16;Diesel;140 kW (190 CV)
B;volvo;xc40;33900.0;21400;Automatico;nov-22;Gasolina;120 kW (163 CV)
D;jeep;gladiator;51990.0;6629;Automatico;ene-22;Diesel;194 kW (264 CV)
A;audi;a3;18999.0;;Automatico;mar-17;Diesel;135 kW (184 CV)
B;bmw;530;19500.0;165000;Automatico;oct-17;Electro/Gasolina;185 kW (252 CV)
NL;peugeot;5008;44995.0;20740;Automatico;feb-23;Gasolina;133 kW (181 CV)
E;toyota;auris;12800.0;;Automatico;jun-18;Electro/Gasolina;100 kW (136 CV)
A;mg;zs;18970.0;58900;Automatico;ene-20;Electrico;105 kW (143 CV)
I;seat;altea;3700.0;200700;Manual;feb-09;Diesel;125 kW (170 CV)
E;bmw;330;9900.0;199000;Automatico;jun-07;Gasolina;190 kW (258 CV)
I;mercedes-benz;v 220;40000.0;101500;Semiautomatico;jun-02;Diesel;140 kW (190 CV)
A;ford;mondeo;6900.0;;Manual;ago-14;Diesel;103 kW (140 CV)
I;audi;a6;39800.0;71348;Automatico;jul-20;Electro/Diesel;210 kW (286 CV)
A;mitsubishi;space star;13990.0;12544;Manual;abr-22;Gasolina;52 kW (71 CV)
F;citroen;c3;10900.0;140733;Manual;ago-21;Diesel;76 kW (103 CV)
D;opel;astra;13490.0;61549;Manual;sep-20;Gasolina;96 kW (131 CV)
E;peugeot;208;12650.0;50000;Manual;ago-21;Gasolina;75 kW (102 CV)
B;volkswagen;golf;20490.0;71500;Automatico;jun-21;Gasolina;81 kW (110 CV)
E;jaguar;xf;14900.0;159000;Automatico;may-17;Diesel;132 kW (179 CV)
NL;fiat;500;10599.0;53785;Manual;abr-17;Gasolina;51 kW (69 CV)
D;mercedes-benz;sl 350;39999.0;;Automatico;nov-12;Gasolina;225 kW (306 CV)
NL;hyundai;i30;18930.0;56576;Manual;oct-22;Electro/Gasolina;0 kW (0 CV)
NL;renault;clio;12190.0;105900;Manual;jul-19;Gasolina;66 kW (90 CV)
NL;mercedes-benz;ml 250;26900.0;149887;Automatico;oct-13;Diesel;150 kW (204 CV)
F;mazda;cx-5;33138.0;5;Manual;sep-24;Otros;121 kW (165 CV)
B;mercedes-benz;;6500.0;320000;0 Transmision;jun-76;Diesel;40 kW (54 CV)
D;bmw;118;8499.0;121000;Manual;ene-11;Diesel;105 kW (143 CV)
A;tesla;model 3;34900.0;76000;Automatico;sep-19;Electrico;225 kW (306 CV)
E;seat;leon;9900.0;150000;Manual;jun-18;Gas licuado (GLP);81 kW (110 CV)
F;dacia;sandero;12990.0;54500;Manual;jun-21;Gasolina;75 kW (102 CV)
D;hyundai;santa fe;34999.0;13226;Automatico;dic-21;Electro/Gasolina;169 kW (230 CV)
NL;citroen;jumper;9679.0;101086;Manual;nov-17;Diesel;81 kW (110 CV)
I;ds automobiles;ds 5;9999.0;210000;Automatico;jul-14;Diesel;133 kW (181 CV)
D;mercedes-benz;e 200;7900.0;213000;0 Transmision;nov-90;Gasolina;87 kW (118 CV)
NL;seat;ibiza;6300.0;138500;Manual;nov-12;Gasolina;44 kW (60 CV)
D;mini;cooper clubman;16980.0;54417;Manual;oct-18;Gasolina;100 kW (136 CV)
NL;volvo;c30;7900.0;146963;Manual;ene-10;Gasolina;107 kW (145 CV)
A;citroen;c5 aircross;25920.0;6600;Semiautomatico;ago-21;Diesel;96 kW (131 CV)
D;mini;one countryman;11990.0;59000;Manual;abr-14;Gasolina;72 kW (98 CV)
D;bentley;continental gt;45900.0;79300;Automatico;mar-05;Gasolina;411 kW (559 CV)
NL;skoda;fabia;11000.0;57425;Manual;dic-17;Gasolina;70 kW (95 CV)
I;ford;ka/ka+;4000.0;;Manual;ago-11;Gasolina;51 kW (69 CV)
E;ford;ecosport;13490.0;69972;Manual;nov-21;Gasolina;92 kW (125 CV)
D;mazda;cx-30;28900.0;0;Manual;0;Gasolina;103 kW (140 CV)
D;citroen;c3;3799.0;178999;Manual;feb-04;Gasolina;44 kW (60 CV)
I;ford;focus;15800.0;88700;Manual;ene-21;Electro/Gasolina;92 kW (125 CV)
A;tesla;model y;;86000;Automatico;jun-22;Electrico;258 kW (351 CV)
A;mercedes-benz;170;19000.0;1050;Automatico;jun-81;Gasolina;47 kW (64 CV)
NL;volkswagen;polo;3950.0;266000;0 Transmision;ene-13;Diesel;55 kW (75 CV)
NL;toyota;yaris;13950.0;95062;Automatico;abr-18;Electro/Gasolina;0 kW (0 CV)
D;kia;sorento;25880.0;57865;Automatico;jul-16;Diesel;147 kW (200 CV)
D;mercedes-benz;v 250;36900.0;295000;Automatico;jun-16;Diesel;140 kW (190 CV)
NL;mercedes-benz;eqe suv;93945.0;15420;Automatico;ene-24;Electrico;350 kW (476 CV)
D;mclaren;;318900.0;3000;Automatico;jun-24;Gasolina;515 kW (700 CV)
I;bmw;x5;5500.0;20000;Manual;may-05;Diesel;160 kW (218 CV)
B;porsche;911;95900.0;61857;Automatico;ago-14;Gasolina;294 kW (400 CV)
F;kia;sportage;21990.0;71017;Automatico;feb-20;Diesel;101 kW (137 CV)
D;ford;mondeo;;290000;Automatico;dic-07;Diesel;96 kW (131 CV)
I;ford;kuga;17700.0;;Manual;jul-20;Diesel;88 kW (120 CV)
F;ferrari;roma;294000.0;error;Automatico;dic-22;Gasolina;456 kW (620 CV)
D;ford;mondeo;;301800;Manual;dic-10;Diesel;103 kW (140 CV)
B;renault;talisman;12500.0;131000;Manual;jun-19;Diesel;88 kW (120 CV)
NL;mitsubishi;space star;8945.0;40279;Manual;jun-19;Gasolina;52 kW (71 CV)
D;bmw;z3;16500.0;188000;Automatico;may-00;Gasolina;142 kW (193 CV)
D;ford;fiesta;300.0;244917;Manual;oct-03;Gasolina;44 kW (60 CV)
D;renault;clio;6990.0;26221;Manual;abr-19;Gasolina;66 kW (90 CV)
D;hyundai;tucson;30199.0;0;Automatico;0;Gasolina;118 kW (160 CV)
A;bmw;z4;17900.0;145000;Manual;mar-06;Gasolina;195 kW (265 CV)
NL;suzuki;baleno;14950.0;34357;Manual;ago-19;Gasolina;66 kW (90 CV)
I;peugeot;2008;17900.0;35300;Automatico;mar-21;Gasolina;96 kW (131 CV)
NL;peugeot;108;7250.0;95500;Manual;jul-16;Gasolina;51 kW (69 CV)
NL;porsche;panamera;61950.0;162450;Automatico;ene-18;Electro/Gasolina;243 kW (330 CV)
I;fiat;grande punto;3000.0;210000;Manual;dic-08;Gas natural (CNG);57 kW (77 CV)
NL;daihatsu;sirion;2250.0;228000;Manual;jul-05;Gasolina;64 kW (87 CV)
NL;nissan;juke;22440.0;;Automatico;nov-20;Gasolina;86 kW (117 CV)
NL;mazda;cx-3;24900.0;64449;Automatico;jul-21;Gasolina;89 kW (121 CV)
I;abarth;595 turismo;15990.0;64890;Manual;abr-18;Gasolina;121 kW (165 CV)
I;alfa romeo;stelvio;90000.0;6500;Automatico;may-24;Gasolina;382 kW (519 CV)
D;opel;meriva;14950.0;22950;Automatico;sep-16;Gasolina;88 kW (120 CV)
NL;peugeot;2008;9940.0;67425;Manual;may-16;Gasolina;60 kW (82 CV)
D;nissan;qashqai;25980.0;31600;Automatico;feb-22;Gasolina;116 kW (158 CV)
D;hyundai;tucson;32590.0;15;Automatico;nov-24;Electro/Gasolina;118 kW (160 CV)
D;seat;leon;18600.0;93622;Manual;jul-20;Gasolina;110 kW (150 CV)
D;opel;corsa;4650.0;61565;Manual;jul-89;Gasolina;44 kW (60 CV)
I;bmw;x2;35000.0;37000;Automatico;jul-22;Diesel;140 kW (190 CV)
I;audi;a6 allroad;3900.0;300609;Semiautomatico;ago-07;Diesel;171 kW (232 CV)
I;ford;fiesta;3999.0;142954;Manual;dic-10;Gasolina;55 kW (75 CV)
D;kia;ceed / cee'd;24970.0;23529;Automatico;nov-22;Gasolina;118 kW (160 CV)
B;jeep;wrangler;32990.0;124000;Automatico;oct-14;Diesel;147 kW (200 CV)
D;skoda;rapid/spaceback;;152657;Manual;mar-16;Gasolina;66 kW (90 CV)
B;citroen;jumper;23990.0;53326;Manual;oct-21;Diesel;88 kW (120 CV)
F;jaguar;xjs;16500.0;100114;Automatico;ene-87;0 Tipo de combustible;0 kW (0 CV)
D;ssangyong;torres;34990.0;1500;Automatico;ago-23;Gasolina;120 kW (163 CV)
NL;maserati;quattroporte;65117.0;118440;Automatico;mar-16;Gasolina;302 kW (411 CV)
D;opel;zafira life;39995.0;0;Automatico;0;Diesel;130 kW (177 CV)
NL;kia;ceed / cee'd;19200.0;116134;Automatico;ago-21;Electro/Gasolina;104 kW (141 CV)
NL;mercedes-benz;250;30000.0;107200;0 Transmision;sep-67;Gasolina;110 kW (150 CV)
D;peugeot;208;3398.0;163564;Manual;ago-12;Gasolina;70 kW (95 CV)
D;mercedes-benz;e 270;6490.0;210369;Automatico;sep-03;Diesel;130 kW (177 CV)
E;opel;corsa;19400.0;0;Manual;0;Gasolina;74 kW (101 CV)
I;alfa romeo;stelvio;29999.0;102038;Automatico;oct-21;Diesel;154 kW (209 CV)
I;audi;a4;5500.0;125000;Manual;sep-01;Gasolina;96 kW (131 CV)
D;mercedes-benz;c 200;;146469;Automatico;nov-19;Gasolina;135 kW (184 CV)
I;renault;talisman;11000.0;163000;Manual;nov-16;Diesel;81 kW (110 CV)
E;ferrari;;340000.0;0;Automatico;0;Electro/Gasolina;610 kW (829 CV)
NL;renault;clio;14495.0;61388;Manual;feb-22;Gasolina;68 kW (92 CV)
NL;ford;focus;13900.0;;Manual;abr-19;Gasolina;92 kW (125 CV)
D;skoda;octavia;20000.0;;Manual;ago-22;Gasolina;235 kW (320 CV)
E;audi;a7;19999.0;161000;Automatico;jul-12;Diesel;150 kW (204 CV)
A;ford;puma;24990.0;150;Manual;oct-24;Gasolina;92 kW (125 CV)
E;citroen;c3 aircross;20990.0;13;Manual;mar-24;Gasolina;81 kW (110 CV)
D;opel;astra;4900.0;110000;Manual;mar-10;Gasolina;74 kW (101 CV)
E;jaguar;e-pace;18800.0;99000;Automatico;feb-19;Diesel;110 kW (150 CV)
NL;citroen;c5 aircross;;131398;Automatico;ene-20;Gasolina;133 kW (181 CV)
D;nissan;pixo;8980.0;17872;Automatico;mar-12;Gasolina;50 kW (68 CV)
D;subaru;forester;;139000;Manual;ago-12;Gasolina;110 kW (150 CV)
D;opel;meriva;1990.0;154000;Manual;ago-03;Gasolina;74 kW (101 CV)
B;seat;arona;17500.0;24333;Automatico;ene-23;Gasolina;81 kW (110 CV)
F;mercedes-benz;cl;69900.0;9103;Automatico;jul-24;Electrico;0 kW (0 CV)
F;citroen;ds3;7989.0;130500;Manual;jun-14;Gasolina;115 kW (156 CV)
D;seat;leon;23630.0;47306;Manual;oct-21;Gasolina;110 kW (150 CV)
D;smart;forfour;9850.0;36500;Manual;mar-15;Gasolina;66 kW (90 CV)
I;toyota;verso;11000.0;155000;Manual;sep-17;Diesel;82 kW (111 CV)
E;mercedes-benz;s 420;19900.0;186000;Automatico;sep-82;Gasolina;164 kW (223 CV)
I;mercedes-benz;e 220;88660.0;100;Automatico;sep-24;Electro/Diesel;145 kW (197 CV)
A;nissan;nv200;2100.0;error;Manual;jul-10;Diesel;66 kW (90 CV)
I;peugeot;3008;15900.0;109417;Automatico;feb-19;Gasolina;96 kW (131 CV)
D;porsche;911;119900.0;error;Automatico;abr-20;Gasolina;331 kW (450 CV)
NL;renault;trafic;11798.0;162305;Manual;abr-19;Diesel;92 kW (125 CV)
I;peugeot;208;6300.0;180866;Manual;jul-13;Diesel;50 kW (68 CV)
D;ford;focus;5530.0;101251;Manual;ago-14;Gasolina;92 kW (125 CV)
I;porsche;macan;;15000;Automatico;jun-24;Gasolina;195 kW (265 CV)
NL;renault;r 5;36905.0;;Automatico;nov-24;Electrico;110 kW (150 CV)
A;toyota;hilux;47600.0;660;Manual;nov-24;Diesel;110 kW (150 CV)
I;fiat;131;7500.0;75000;Manual;dic-79;Gasolina;72 kW (98 CV)
A;volkswagen;t6.1 california;103703.0;10;Automatico;abr-24;Diesel;150 kW (204 CV)
I;opel;astra;8490.0;129000;Manual;nov-18;Diesel;81 kW (110 CV)
D;hyundai;i10;10000.0;43000;Manual;nov-20;Gasolina;49 kW (67 CV)
B;citroen;c5;2700.0;323000;Automatico;ago-11;Diesel;82 kW (111 CV)
B;peugeot;5008;25785.0;55217;Automatico;dic-22;Gasolina;96 kW (131 CV)
D;opel;;12999.0;;Manual;jun-94;Gasolina;85 kW (116 CV)
I;renault;captur;12500.0;52000;Manual;nov-18;Gasolina;66 kW (90 CV)
B;opel;astra;4950.0;130141;Manual;ene-13;Diesel;70 kW (95 CV)
I;dacia;duster;;48000;Manual;may-22;Gas licuado (GLP);74 kW (101 CV)
D;chevrolet;silverado;14990.0;177382;Automatico;jul-04;Gasolina;220 kW (299 CV)
D;dacia;sandero;15850.0;10;Manual;oct-24;Gasolina;67 kW (91 CV)
I;seat;alhambra;15400.0;172000;Manual;oct-14;Diesel;103 kW (140 CV)
D;volkswagen;passat variant;11490.0;237000;Manual;jul-18;Diesel;110 kW (150 CV)
B;bmw;x5;54999.0;81454;Automatico;may-22;Electro/Gasolina;210 kW (286 CV)
B;volkswagen;golf;24500.0;19228;Automatico;oct-20;Gasolina;110 kW (150 CV)
I;alfa romeo;alfetta;12500.0;86700;Manual;jun-83;Gasolina;96 kW (131 CV)
I;renault;clio;16500.0;27549;Automatico;ago-20;Electro/Gasolina;67 kW (91 CV)
D;suzuki;sx4 s-cross;22780.0;7354;Manual;mar-23;Gasolina;95 kW (129 CV)
I;nissan;qashqai;37800.0;0;Automatico;0;Electro/Gasolina;116 kW (158 CV)
B;mazda;6;8200.0;;Manual;mar-07;Gasolina;191 kW (260 CV)
E;renault;captur;8950.0;190800;Automatico;ago-14;Diesel;66 kW (90 CV)
A;volkswagen;golf;12800.0;100000;Manual;jul-90;Gasolina;72 kW (98 CV)
F;toyota;yaris;21999.0;8500;Automatico;nov-24;Otros;69 kW (94 CV)
NL;kia;niro;16745.0;133607;Automatico;nov-16;Electro/Gasolina;104 kW (141 CV)
D;porsche;cayenne;37800.0;118300;Automatico;nov-13;Diesel;281 kW (382 CV)
B;mercedes-benz;e 220;24500.0;125000;Automatico;dic-16;Diesel;120 kW (163 CV)
A;dacia;jogger;22078.0;46300;Manual;feb-23;Gasolina;81 kW (110 CV)
I;fiat;seicento;2000.0;60000;Manual;ago-04;Gasolina;40 kW (54 CV)
NL;bmw;530;;135500;Automatico;oct-18;Gasolina;135 kW (184 CV)
A;bmw;x1;8490.0;203000;Manual;abr-10;Diesel;105 kW (143 CV)
I;fiat;barchetta;4500.0;232400;Manual;feb-96;Gasolina;96 kW (131 CV)
I;ford;focus;8600.0;148000;Manual;feb-18;Diesel;88 kW (120 CV)
A;ford;ranger;39900.0;10;Manual;ago-24;Diesel;125 kW (170 CV)
D;mercedes-benz;glc 250;28990.0;54400;Automatico;abr-18;Gasolina;155 kW (211 CV)
NL;bmw;318;5750.0;207944;Manual;ago-07;Gasolina;95 kW (129 CV)
D;mercedes-benz;gla 200;18490.0;;Automatico;mar-14;Gasolina;115 kW (156 CV)
F;fiat;tipo;9500.0;;Manual;mar-20;Gasolina;70 kW (95 CV)
A;seat;leon;18590.0;113335;Automatico;jul-21;Diesel;110 kW (150 CV)
A;mitsubishi;space star;13290.0;30;Manual;jun-24;Gasolina;52 kW (71 CV)
F;peugeot;partner;5990.0;205105;Manual;abr-14;Diesel;67 kW (91 CV)
D;mitsubishi;colt;2180.0;error;Manual;dic-06;Gasolina;55 kW (75 CV)
F;bmw;m4;;125000;Automatico;jun-14;Gasolina;318 kW (432 CV)
I;dacia;sandero;6500.0;79000;Manual;sep-13;Gas licuado (GLP);55 kW (75 CV)
E;bmw;i4;55108.0;22114;Automatico;ene-23;Electro/Gasolina;400 kW (544 CV)
D;bmw;420;23280.0;110300;Automatico;may-18;Diesel;140 kW (190 CV)
I;renault;clio;2000.0;74000;Manual;ene-01;Gasolina;72 kW (98 CV)
A;volkswagen;golf;5500.0;203000;Manual;sep-09;Diesel;103 kW (140 CV)
F;porsche;991;;54000;Automatico;may-16;Gasolina;309 kW (420 CV)
D;kia;ceed / cee'd;29580.0;55;Automatico;ene-24;Electro/Diesel;100 kW (136 CV)
D;toyota;c-hr;20000.0;50800;Automatico;sep-19;Electro/Gasolina;72 kW (98 CV)
I;jeep;renegade;20900.0;16434;Automatico;dic-21;Electro/Gasolina;96 kW (131 CV)
A;dacia;sandero;7990.0;;Manual;jun-18;Gasolina;54 kW (73 CV)
D;volkswagen;polo;1999.0;156000;Manual;feb-05;Gasolina;55 kW (75 CV)
I;nissan;qashqai;22900.0;26000;Automatico;sep-21;Gasolina;116 kW (158 CV)
I;dacia;duster;14000.0;100000;Automatico;jun-18;Diesel;81 kW (110 CV)
B;toyota;c-hr;;88908;Automatico;ene-19;Electro/Gasolina;72 kW (98 CV)
NL;peugeot;3008;18950.0;87396;Automatico;jun-19;Gasolina;96 kW (131 CV)
A;ligier;js 60;21550.0;2;Automatico;0;Diesel;6 kW (8 CV)
NL;opel;insignia;16950.0;112412;Automatico;sep-17;Gasolina;121 kW (165 CV)
I;fiat;qubo;3000.0;336000;Manual;jun-10;Diesel;55 kW (75 CV)
B;renault;kangoo;25995.0;3500;Automatico;dic-23;Diesel;70 kW (95 CV)
D;nissan;qashqai;29970.0;29300;Automatico;ene-22;Gasolina;116 kW (158 CV)
D;renault;captur;12980.0;56000;Manual;oct-15;Diesel;81 kW (110 CV)
D;ford;mondeo;14999.0;122700;Automatico;abr-17;Gasolina;176 kW (239 CV)
A;audi;a4;12990.0;218827;Automatico;mar-15;Diesel;140 kW (190 CV)
I;audi;a8;4990.0;320000;Semiautomatico;jul-98;Gasolina;142 kW (193 CV)
NL;renault;clio;10950.0;43054;Manual;mar-17;Gasolina;66 kW (90 CV)
I;volvo;v50;3100.0;260100;Manual;nov-09;Diesel;80 kW (109 CV)
