Pais;Marca;Modelo;Precio;Kilometros;Automatico/Manual;Fabricacion;Combustible;Potencia
E;bmw;520;9000.0;118400;Automatico;nov-07;Diesel;130 kW (177 CV)
A;fiat;ducato;33880.0;25;Manual;oct-24;Diesel;103 kW (140 CV)
NL;ford;fusion;6750.0;;Automatico;mar-08;Gasolina;74 kW (101 CV)
NL;citroen;e-c4 electric;20425.0;24352;Automatico;jun-23;Electrico;100 kW (136 CV)
E;volvo;xc40;48833.0;0;Automatico;0;Electrico;170 kW (231 CV)
D;renault;scenic;9990.0;70000;Manual;dic-17;Gasolina;85 kW (116 CV)
D;kia;niro;27980.0;100;Automatico;ene-22;Electrico;150 kW (204 CV)
B;opel;grandland x;19995.0;60334;Manual;sep-19;Gasolina;96 kW (131 CV)
D;ford;fiesta;22480.0;5;Automatico;oct-23;Gasolina;92 kW (125 CV)
D;volkswagen;golf;2595.0;192000;Manual;jun-04;Gasolina;55 kW (75 CV)
A;bmw;ix1;53950.0;12800;Automatico;oct-23;Electrico;200 kW (272 CV)
I;ford;mondeo;1700.0;470000;Manual;abr-09;Diesel;103 kW (140 CV)
I;mini;cooper;15890.0;105000;Manual;jul-20;Gasolina;100 kW (136 CV)
D;citroen;c5 x;24599.0;2070;Automatico;dic-22;Gasolina;96 kW (131 CV)
D;mitsubishi;space star;4250.0;67280;Manual;oct-18;Gasolina;52 kW (71 CV)
D;seat;ibiza;21390.0;6250;Automatico;ene-24;Gasolina;81 kW (110 CV)
E;hyundai;staria;53740.0;0;Automatico;0;Electro/Gasolina;167 kW (227 CV)
B;hyundai;tucson;18999.0;50000;Automatico;jun-17;Gasolina;130 kW (177 CV)
F;dacia;duster;20680.0;10;Manual;ene-24;Gasolina;74 kW (101 CV)
NL;ford;grand c-max;4900.0;302015;Manual;ene-11;Gasolina;110 kW (150 CV)
I;mazda;cx-30;26500.0;12000;Automatico;jun-23;Electro/Gasolina;132 kW (179 CV)
B;peugeot;3008;18388.0;106930;Automatico;jul-20;Diesel;96 kW (131 CV)
D;mazda;cx-5;23788.0;41555;Automatico;dic-18;Diesel;135 kW (184 CV)
D;alfa romeo;;7490.0;80229;Manual;nov-05;Gasolina;118 kW (160 CV)
D;audi;a4;3999.0;268000;Automatico;ago-02;Diesel;132 kW (179 CV)
E;bmw;116;17300.0;49125;Manual;jun-15;Diesel;85 kW (116 CV)
F;land rover;defender;45900.0;44500;Manual;ene-13;Diesel;90 kW (122 CV)
D;toyota;aygo;2500.0;182600;Manual;jul-13;Gasolina;50 kW (68 CV)
A;toyota;c-hr;29990.0;4;Automatico;0;Gasolina;103 kW (140 CV)
I;audi;a6;2800.0;430000;Semiautomatico;ago-04;Diesel;165 kW (224 CV)
NL;dacia;duster;16450.0;105982;Manual;ago-21;Gas licuado (GLP);67 kW (91 CV)
D;land rover;discovery;27490.0;157000;Automatico;jun-17;Diesel;190 kW (258 CV)
B;volkswagen;golf;12990.0;83500;Manual;nov-18;Gasolina;63 kW (86 CV)
I;audi;a4;15900.0;138000;Automatico;nov-16;Diesel;110 kW (150 CV)
A;mercedes-benz;cla 250;20980.0;149571;Automatico;nov-16;Gasolina;160 kW (218 CV)
B;seat;ateca;15990.0;60910;Manual;sep-19;Gasolina;85 kW (116 CV)
I;renault;clio;15900.0;76000;Automatico;ene-22;Electro/Gasolina;67 kW (91 CV)
E;renault;megane;3500.0;165000;Manual;ago-05;Gasolina;100 kW (136 CV)
NL;volvo;v60;;286115;Automatico;feb-14;Electro/Diesel;158 kW (215 CV)
I;volkswagen;t4 multivan;21000.0;215000;Manual;may-93;Diesel;45 kW (61 CV)
B;ford;puma;22950.0;8000;Automatico;ene-24;Gasolina;92 kW (125 CV)
I;volvo;xc40;34992.0;27399;Automatico;jun-23;Electro/Gasolina;120 kW (163 CV)
NL;citroen;berlingo;11990.0;146943;Manual;mar-17;Gasolina;81 kW (110 CV)
B;peugeot;5008;29990.0;38925;Automatico;oct-22;Diesel;96 kW (131 CV)
E;toyota;auris;6000.0;;Manual;jul-08;Diesel;130 kW (177 CV)
F;toyota;c-hr;40999.0;1500;Automatico;nov-24;Otros;113 kW (154 CV)
B;peugeot;2008;10490.0;42649;Manual;jul-17;Gasolina;60 kW (82 CV)
A;fiat;tipo;22087.0;10;Automatico;jul-24;Gasolina;96 kW (131 CV)
F;audi;e-tron;42499.0;55331;Automatico;dic-19;Electrico;0 kW (0 CV)
B;alfa romeo;156;3500.0;161000;Manual;sep-05;Gasolina;88 kW (120 CV)
NL;fiat;500c;8249.0;110550;Manual;mar-16;Gasolina;59 kW (80 CV)
B;mazda;mx-5;;76000;Manual;may-19;Gasolina;97 kW (132 CV)
B;fiat;doblo;12100.0;95000;0 Transmision;dic-20;Diesel;70 kW (95 CV)
I;bmw;220;29000.0;35000;Semiautomatico;nov-21;Diesel;140 kW (190 CV)
A;volkswagen;jetta;9999.0;139600;Manual;jun-12;Gasolina;90 kW (122 CV)
B;audi;a5;12900.0;148000;Manual;nov-16;Diesel;100 kW (136 CV)
NL;kia;xceed;26750.0;69571;Automatico;ene-20;Gasolina;150 kW (204 CV)
A;peugeot;508;23990.0;53800;Automatico;jul-21;Diesel;96 kW (131 CV)
E;nissan;juke;23980.0;16040;Automatico;nov-22;Electro/Gasolina;105 kW (143 CV)
NL;volvo;xc60;65490.0;22330;Automatico;ago-23;Electro/Gasolina;335 kW (455 CV)
D;kia;sportage;6950.0;183500;Manual;dic-11;Diesel;85 kW (116 CV)
D;seat;leon;16500.0;73000;Automatico;feb-17;Gasolina;132 kW (179 CV)
B;bmw;318;24995.0;79112;Automatico;sep-20;Diesel;111 kW (151 CV)
I;jaguar;f-pace;45500.0;21500;Automatico;mar-24;Electro/Diesel;150 kW (204 CV)
D;mercedes-benz;v 300;109480.0;25;Automatico;0;Diesel;174 kW (237 CV)
D;skoda;fabia;5500.0;82634;Manual;ago-09;Gasolina;44 kW (60 CV)
I;mercedes-benz;cla 200;15300.0;155000;Automatico;sep-16;Diesel;100 kW (136 CV)
E;volkswagen;t-roc;27001.0;1;Manual;sep-24;Gasolina;85 kW (116 CV)
I;skywell;;;232000;0 Transmision;sep-09;Gasolina;71 kW (97 CV)
B;volvo;v60;35900.0;42647;Automatico;ene-22;Gasolina;145 kW (197 CV)
NL;nissan;qashqai;12500.0;145390;Manual;sep-14;Gasolina;85 kW (116 CV)
D;hyundai;santa fe;3500.0;270000;Manual;nov-06;Diesel;83 kW (113 CV)
I;alfa romeo;giulia;52300.0;0;Automatico;0;Gasolina;206 kW (280 CV)
D;smart;fortwo;14444.0;9059;Automatico;abr-23;Electrico;60 kW (82 CV)
I;skoda;octavia;25140.0;0;Manual;0;Gasolina;110 kW (150 CV)
D;nissan;qashqai;10990.0;120475;Automatico;may-12;Gasolina;104 kW (141 CV)
D;mg;3;24640.0;30;Automatico;0;Electro/Gasolina;143 kW (194 CV)
E;mini;cooper cabrio;30445.0;13393;Automatico;feb-24;Gasolina;100 kW (136 CV)
E;mini;cooper;5990.0;178000;Manual;nov-08;Gasolina;88 kW (120 CV)
I;audi;q3;49900.0;0;Automatico;0;Diesel;110 kW (150 CV)
D;peugeot;407;5999.0;;Automatico;ene-06;Diesel;150 kW (204 CV)
NL;dodge;ram;90441.0;12337;Automatico;nov-22;Gas licuado (GLP);295 kW (401 CV)
D;volkswagen;passat variant;9100.0;148800;Manual;sep-09;Diesel;103 kW (140 CV)
NL;aixam;crossline;;8813;Automatico;jun-23;Diesel;6 kW (8 CV)
B;mercedes-benz;a 160;13970.0;129509;Manual;mar-18;Gasolina;75 kW (102 CV)
I;suzuki;swift;10550.0;62530;Manual;abr-18;Gasolina;66 kW (90 CV)
